pgr_id,pgr_name,area_km2,mean_no2,mean_pm25,max_ageGroup,totalBuildings,max_ageGroupPercent,total_sealing_area,no_Imbiss,unique_f_streets,unique_m_streets,unique_streets_count,fStreets_percent,treeCount,population,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,total_anual_yield_gwh
730,Friedenau,4.6,17.54,11.08,"('x1901_1910', 704)",2210,31.9,58,57,8,64,72,11.1,8765,47038,9.812,3.4,9.958,1.572,72
740,Tempelhof,13.66,17.81,10.71,"('x1921_1930', 1796)",4577,39.2,51,77,7,94,101,6.9,13698,67417,9.948888888888888,3.3677777777777775,9.802222222222222,2.352222222222222,201
750,Mariendorf,9.37,14.3,10.98,"('x1961_1970', 859)",5438,15.8,48,58,0,38,38,0.0,11764,53616,10.367142857142856,3.3414285714285716,11.444285714285714,3.056666666666666,133
760,Marienfelde / Lichtenrade,19.18,13.23,10.71,"('x1971_1980', 2990)",12978,23.0,45,53,5,132,137,3.5999999999999996,17425,84865,11.756153846153849,3.710769230769231,11.455384615384617,2.8945454545454545,279
810,Neukölln,11.7,18.37,11.08,"('x1901_1910', 1740)",6199,28.1,61,400,3,94,97,3.1,18205,162700,10.44095238095238,3.3914285714285715,9.511904761904765,2.221904761904762,220
820,Britz/Buckow,17.11,15.17,10.84,"('x1921_1930', 1573)",9451,16.6,41,73,1,49,50,2.0,22425,74103,11.380833333333332,3.5383333333333336,10.739166666666668,2.0775,178
830,Gropiusstadt,2.66,14.61,11.54,"('x1961_1970', 690)",864,79.9,48,20,6,31,37,16.2,5723,38728,10.805,3.7225,10.7875,2.5675,38
840,Buckow Nord/Rudow,13.44,13.92,11.1,"('x1971_1980', 2626)",11742,22.4,45,52,14,29,43,32.6,9654,53788,10.84,3.815555555555556,9.69875,2.12375,149
910,Treptow-Köpenick 1,17.14,15.83,10.81,"('x1921_1930', 980)",5860,16.7,37,50,3,84,87,3.4000000000000004,20522,65660,11.31,3.3333333333333335,10.536666666666669,1.9322222222222225,129
920,Treptow-Köpenick 2,19.19,14.57,10.57,"('x1931_1940', 1287)",5249,24.5,43,65,11,129,140,7.9,15365,75237,11.41,3.3869999999999996,10.53111111111111,2.551111111111111,217
930,Treptow-Köpenick 3,40.67,11.39,10.31,"('x1991_2000', 3116)",11368,27.4,19,30,9,43,52,17.299999999999997,10968,59447,12.961111111111112,3.774444444444444,12.02777777777778,2.0455555555555556,161
940,Treptow-Köpenick 4,44.42,10.25,9.99,"('x1991_2000', 1459)",5954,24.5,9,23,5,29,34,14.7,5666,39371,11.691428571428572,3.507142857142857,11.201666666666666,2.43,81
950,Treptow-Köpenick 5,46.22,10.24,9.87,"('x1921_1930', 1563)",8794,17.8,15,39,5,66,71,7.000000000000001,15713,55720,11.04375,3.5275,10.755,2.4575,151
1010,Marzahn,19.53,14.3,11.13,"('x1981_1990', 1853)",4278,43.3,42,54,8,30,38,21.1,38041,118714,11.10125,3.345,11.5675,2.8025,204
1020,Hellersdorf,8.12,13.42,11.07,"('x1981_1990', 2882)",3416,84.39999999999999,45,38,16,30,46,34.8,22488,93074,11.453571428571427,3.5307142857142857,10.900714285714288,3.125,94
1030,Biesdorf,12.4,13.33,11.05,"('x1991_2000', 1950)",7159,27.200000000000003,34,13,5,23,28,17.9,16851,30989,11.05,3.265,10.7275,2.775,100
